company_id,year,previous_pattern,current_pattern
TATACONSUM,2015,Reinvestor,Shareholder Returns
TATACONSUM,2016,Shareholder Returns,Liquidating Assets
TATACONSUM,2018,Liquidating Assets,Reinvestor
TATACONSUM,2019,Reinvestor,Liquidating Assets
TATACONSUM,2020,Liquidating Assets,Shareholder Returns
TATACONSUM,2024,Shareholder Returns,Mixed
TATAMOTORS,2015,Shareholder Returns,Mixed
TATAMOTORS,2016,Mixed,Shareholder Returns
TATAMOTORS,2017,Shareholder Returns,Mixed
TATAMOTORS,2022,Mixed,Reinvestor
TATAMOTORS,2023,Reinvestor,Shareholder Returns
TATAPOWER,2017,Shareholder Returns,Mixed
TATAPOWER,2018,Mixed,Shareholder Returns
TATAPOWER,2021,Shareholder Returns,Liquidating Assets
TATAPOWER,2022,Liquidating Assets,Shareholder Returns
TATAPOWER,2023,Shareholder Returns,Mixed
TATAPOWER,2024,Mixed,Shareholder Returns
TATASTEEL,2014,Reinvestor,Mixed
TATASTEEL,2015,Mixed,Reinvestor
TATASTEEL,2018,Reinvestor,Mixed
TATASTEEL,2019,Mixed,Shareholder Returns
TATASTEEL,2024,Shareholder Returns,Reinvestor
TCS,2018,Reinvestor,Liquidating Assets
TCS,2021,Liquidating Assets,Shareholder Returns
TCS,2023,Shareholder Returns,Liquidating Assets
TECHM,2014,Mixed,Liquidating Assets
TECHM,2015,Liquidating Assets,Reinvestor
TECHM,2016,Reinvestor,Shareholder Returns
TECHM,2018,Shareholder Returns,Reinvestor
TECHM,2019,Reinvestor,Shareholder Returns
TECHM,2020,Shareholder Returns,Liquidating Assets
TECHM,2021,Liquidating Assets,Shareholder Returns
TECHM,2022,Shareholder Returns,Liquidating Assets
TECHM,2023,Liquidating Assets,Shareholder Returns
TITAN,2014,Reinvestor,Growth Funded by Debt
TITAN,2015,Growth Funded by Debt,Reinvestor
TITAN,2017,Reinvestor,Shareholder Returns
TITAN,2018,Shareholder Returns,Mixed
TITAN,2019,Mixed,Reinvestor
TITAN,2020,Reinvestor,Mixed
TITAN,2021,Mixed,Shareholder Returns
TITAN,2022,Shareholder Returns,Mixed
TITAN,2024,Mixed,Reinvestor
TORNTPHARM,2016,Mixed,Shareholder Returns
TORNTPHARM,2018,Shareholder Returns,Mixed
TORNTPHARM,2019,Mixed,Shareholder Returns
TORNTPHARM,2020,Shareholder Returns,Liquidating Assets
TORNTPHARM,2021,Liquidating Assets,Shareholder Returns
TORNTPHARM,2023,Shareholder Returns,Mixed
TORNTPHARM,2024,Mixed,Shareholder Returns
TRENT,2014,Mixed,Pre-Revenue
TRENT,2015,Pre-Revenue,Growth Funded by Debt
TRENT,2016,Growth Funded by Debt,Shareholder Returns
TRENT,2018,Shareholder Returns,Reinvestor
TRENT,2019,Reinvestor,Mixed
TRENT,2021,Mixed,Liquidating Assets
TRENT,2023,Liquidating Assets,Shareholder Returns
TRENT,2024,Shareholder Returns,Reinvestor
TVSMOTOR,2015,Shareholder Returns,Mixed
TVSMOTOR,2016,Mixed,Shareholder Returns
TVSMOTOR,2018,Shareholder Returns,Mixed
TVSMOTOR,2019,Mixed,Growth Funded by Debt
TVSMOTOR,2020,Growth Funded by Debt,Mixed
TVSMOTOR,2022,Mixed,Growth Funded by Debt
